CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
145813-EEM,2017,0,0,0,0,0,0,0,0,16,5,46,73
145814-NEV,2017,0,0,0,0,0,0,0,0,0,2,2,4
145816-FEN,2017,0,0,0,0,0,0,0,0,0,0,4,4
145817-OEW,2017,0,0,0,0,0,0,0,0,1,0,0,0
145818-XEF,2017,0,0,0,0,0,0,0,0,1,0,0,0
145819-GEO,2017,0,0,0,0,0,0,0,0,0,0,20,0
145820-PEX,2017,0,0,0,0,0,0,0,0,3,1,0,1
145821-YEG,2017,0,0,0,0,0,0,0,0,3,1,9,2
145822-HEP,2017,0,0,0,0,0,0,0,0,0,0,33,0
145823-QEY,2017,0,0,0,0,0,0,0,0,7,4,10,9
145825-IEQ,2017,0,0,0,0,0,0,0,0,0,0,0,2
145826-RFZ,2017,0,0,0,0,0,0,0,0,2,0,0,0
145827-AFI,2017,0,0,0,0,0,0,0,0,4,0,1,0
145829-SFA,2017,0,0,0,0,0,0,0,0,0,5,21,13
145830-BFJ,2017,0,0,0,0,0,0,0,0,20,22,9,3
145831-KFS,2017,0,0,0,0,0,0,0,0,0,0,13,2
145832-TFB,2017,0,0,0,0,0,0,0,0,2,1,0,0
145833-CFK,2017,0,0,0,0,0,0,0,0,0,0,18,3
145834-LFT,2017,0,0,0,0,0,0,0,0,0,0,1,0
145835-UFC,2017,0,0,0,0,0,0,0,0,0,0,0,2
145836-DFL,2017,0,0,0,0,0,0,0,0,0,2,3,2
145837-MFU,2017,0,0,0,0,0,0,0,0,0,0,0,26
145839-EFM,2017,0,0,0,0,0,0,0,0,0,0,17,0
145840-NFV,2017,0,0,0,0,0,0,0,0,1,2,5,0
145842-FFN,2017,0,0,0,0,0,0,0,0,0,14,28,8
145843-OFW,2017,0,0,0,0,0,0,0,0,0,2,0,0
145845-GFO,2017,0,0,0,0,0,0,0,0,7,3,8,10
145846-PFX,2017,0,0,0,0,0,0,0,0,3,5,0,6
145847-YFG,2017,0,0,0,0,0,0,0,0,0,0,85,104
145848-HFP,2017,0,0,0,0,0,0,0,0,3,5,6,0
145849-QFY,2017,0,0,0,0,0,0,0,0,0,1,0,0
145850-ZFH,2017,0,0,0,0,0,0,0,0,38,2,0,0
145851-IFQ,2017,0,0,0,0,0,0,0,0,1,15,10,0
145852-RGZ,2017,0,0,0,0,0,0,0,0,5,5,13,3
145853-AGI,2017,0,0,0,0,0,0,0,0,0,2,15,0
145855-SGA,2017,0,0,0,0,0,0,0,0,0,0,0,2
145856-BGJ,2017,0,0,0,0,0,0,0,0,3,1,4,4
145857-KGS,2017,0,0,0,0,0,0,0,0,1,2,2,0
145859-CGK,2017,0,0,0,0,0,0,0,0,1,0,0,0
145860-LGT,2017,0,0,0,0,0,0,0,0,2,1,1,1
145862-DGL,2017,0,0,0,0,0,0,0,0,1,1,21,23
145864-VGD,2017,0,0,0,0,0,0,0,0,0,0,0,1
145865-EGM,2017,0,0,0,0,0,0,0,0,6,0,0,0
145866-NGV,2017,0,0,0,0,0,0,0,0,0,1,1,4
145867-WGE,2017,0,0,0,0,0,0,0,0,0,0,0,2
145869-OGW,2017,0,0,0,0,0,0,0,0,2,1,0,0
145873-YGG,2017,0,0,0,0,0,0,0,0,0,1,1,2
145874-HGP,2017,0,0,0,0,0,0,0,0,0,5,0,0
145877-IGQ,2017,0,0,0,0,0,0,0,0,66,43,56,1
145879-AHI,2017,0,0,0,0,0,0,0,0,0,0,1,0
145880-JHR,2017,0,0,0,0,0,0,0,0,0,0,3,1
145881-SHA,2017,0,0,0,0,0,0,0,0,0,0,0,2
145882-BHJ,2017,0,0,0,0,0,0,0,0,0,0,0,73
145883-KHS,2017,0,0,0,0,0,0,0,0,1,2,0,0
145886-LHT,2017,0,0,0,0,0,0,0,0,9,3,6,6
145887-UHC,2017,0,0,0,0,0,0,0,0,0,2,5,1
145888-DHL,2017,0,0,0,0,0,0,0,0,16,4,23,2
145889-MHU,2017,0,0,0,0,0,0,0,0,4,10,12,3
145890-VHD,2017,0,0,0,0,0,0,0,0,7,0,3,4
145891-EHM,2017,0,0,0,0,0,0,0,0,2,1,0,0
145892-NHV,2017,0,0,0,0,0,0,0,0,1,0,0,0
145893-WHE,2017,0,0,0,0,0,0,0,0,0,0,13,19
145894-FHN,2017,0,0,0,0,0,0,0,0,22,9,2,0
145895-OHW,2017,0,0,0,0,0,0,0,0,0,0,20,3
145896-XHF,2017,0,0,0,0,0,0,0,0,0,0,25,0
145897-GHO,2017,0,0,0,0,0,0,0,0,6,0,8,0
145898-PHX,2017,0,0,0,0,0,0,0,0,21,6,12,0
145900-HHP,2017,0,0,0,0,0,0,0,0,0,0,18,3
145901-QHY,2017,0,0,0,0,0,0,0,0,0,0,1,20
145902-ZHH,2017,0,0,0,0,0,0,0,0,0,0,1,0
145903-IHQ,2017,0,0,0,0,0,0,0,0,0,0,8,0
145906-JIR,2017,0,0,0,0,0,0,0,0,0,0,49,91
145908-BIJ,2017,0,0,0,0,0,0,0,0,8,3,7,5
145909-KIS,2017,0,0,0,0,0,0,0,0,1,1,3,5
145910-TIB,2017,0,0,0,0,0,0,0,0,0,0,98,7
145911-CIK,2017,0,0,0,0,0,0,0,0,0,0,0,6
145912-LIT,2017,0,0,0,0,0,0,0,0,3,0,0,0
145914-DIL,2017,0,0,0,0,0,0,0,0,0,0,144,88
145915-MIU,2017,0,0,0,0,0,0,0,0,8,1,28,5
145916-VID,2017,0,0,0,0,0,0,0,0,9,1,27,0
